title,age,price,image_src,age_group
Learn About Chinese Culture,2+,"€79,99€55,99- 30%",https://www.lego.com/cdn/cs/set/assets/bltd44de540fa59ecda/10411.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Police Motorcycle,2+,"€9,99",https://www.lego.com/cdn/cs/set/assets/blt38427cb280998bfb/10967.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Life At The Day Nursery,2+,"€47,99",https://www.lego.com/cdn/cs/set/assets/blt74129375ad67293f/10992.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Buzz Lightyear’s Planetary Mission,2+,"€34,99",https://www.lego.com/cdn/cs/set/assets/blt6bb8d74b60ac0545/10962.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Wild Animals of Asia,2+,"€99,99",https://www.lego.com/cdn/cs/set/assets/bltdd2f965345b78fee/10974.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Large Silly Ceramic Mug,3+,"€24,99",https://www.lego.com/cdn/cs/set/assets/blt0d820260466ad7bb/5007874.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Bath Time Fun: Floating Animal Island,1.5+,"€44,99€31,49- 30%",https://www.lego.com/cdn/cs/set/assets/blt36606e8eb36cc0cb/10966.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Lloyd,1+,"€34,99",https://www.lego.com/cdn/cs/set/assets/blt69277523e1a19b07/5007964.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Large Skeleton Ceramic Mug,3+,"€24,99",https://www.lego.com/cdn/cs/set/assets/blt0444ef056ce6c1db/5007885.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Baby Dragon,1+,"€34,99",https://www.lego.com/cdn/cs/set/assets/blt464dd1a6d43482dc/5007962.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Organic Garden,1.5+,"€44,99",https://www.lego.com/cdn/cs/set/assets/bltb254d58162db9302/10984.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Camping Adventure,2+,"€52,99",https://www.lego.com/cdn/cs/set/assets/bltc9eda03e4d12f983/10997.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Wild Animals of Europe,2+,"€59,99",https://www.lego.com/cdn/cs/set/assets/blta1906c51a5e1fc87/10979.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Organic Market,1.5+,"€29,99",https://www.lego.com/cdn/cs/set/assets/blt284bdd22c1dd1078/10983.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Kai,1+,"€34,99",https://www.lego.com/cdn/cs/set/assets/bltfe2b9a8f65a29922/5007960.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Water Park,2+,"€42,99",https://www.lego.com/cdn/cs/set/assets/bltd7acf475bfb6abae/10989.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
