,image_src,title,category,colection,suggested_price(€)
41,https://www.tradeinn.com/h/13959/139594452/speedo-illusion-infant-swimming-goggles.jpg,speedo illusion infant swimming goggles,equipment,accesories,11.99
42,https://www.tradeinn.com/h/13724/137249942/arena-unix-ii-swimming-cap.jpg,arena unix ii swimming cap,equipment,accesories,6.99
43,https://www.tradeinn.com/h/4/48983/arena-spider-swimming-goggles-junior.jpg,arena spider swimming goggles junior,equipment,accesories,10.99
44,https://www.tradeinn.com/h/13740/137406960/adidas-silicone-3-stripes-swimming-cap.jpg,adidas silicone 3 stripes swimming cap,equipment,accesories,5.99
45,https://www.tradeinn.com/h/13870/138704316/aquasphere-kayenne-swimming-goggles.jpg,aquasphere kayenne swimming goggles,equipment,accesories,20.49
46,https://www.tradeinn.com/h/13743/137435642/speedo-hydropulse-mirror-junior-swimming-goggles.jpg,speedo hydropulse mirror junior swimming goggles,equipment,accesories,13.99
47,https://www.tradeinn.com/h/13726/137263467/arena-cruiser-evo-swimming-goggles.jpg,arena cruiser evo swimming goggles,equipment,accesories,12.99
48,https://www.tradeinn.com/h/13982/139825405/tyr-nest-pro-swimming-goggles.jpg,tyr nest pro swimming goggles,equipment,accesories,20.99
49,https://www.tradeinn.com/h/13946/139469750/aquasphere-vista-pro-mirror-goggles.jpg,aquasphere vista pro mirror goggles,equipment,accesories,37.99
50,https://www.tradeinn.com/h/13870/138704277/aquasphere-kaiman-swimming-goggles.jpg,aquasphere kaiman swimming goggles,equipment,accesories,17.99
51,https://www.tradeinn.com/h/13870/138704296/aquasphere-kayenne-pro-swimming-goggles.jpg,aquasphere kayenne pro swimming goggles,equipment,accesories,33.99
52,https://www.tradeinn.com/h/13959/139594423/speedo-biofuse-2.0-mirror-swimming-goggles.jpg,speedo biofuse 2.0 mirror swimming goggles,equipment,accesories,24.99
53,https://www.tradeinn.com/h/13635/136353540/speedo-long-hair-swimming-cap.jpg,speedo long hair swimming cap,equipment,accesories,8.99
54,https://www.tradeinn.com/h/13732/137329398/arena-airspeed-mirror-swimming-goggles.jpg,arena airspeed mirror swimming goggles,equipment,accesories,24.99
55,https://www.tradeinn.com/h/13689/136892721/arena-the-one-swimming-goggles-junior.jpg,arena the one swimming goggles junior,equipment,accesories,14.49
56,https://www.tradeinn.com/h/135/1353253/arena-spider-swimming-goggles-junior.jpg,arena spider swimming goggles junior,equipment,accesories,10.99
57,https://www.tradeinn.com/h/13789/137894525/adidas-persistar-swimming-goggles.jpg,adidas persistar swimming goggles,equipment,accesories,8.99
58,https://www.tradeinn.com/h/13946/139469738/aquasphere-kayenne-lenses-photochromatic-goggles.jpg,aquasphere kayenne lenses photochromatic goggles,equipment,accesories,29.99
59,https://www.tradeinn.com/h/13870/138704393/aquasphere-xceed-swimming-goggles.jpg,aquasphere xceed swimming goggles,equipment,accesories,41.99
60,https://www.tradeinn.com/h/13870/138704272/aquasphere-kaiman-swimming-goggles.jpg,aquasphere kaiman swimming goggles,equipment,accesories,17.99
61,https://www.tradeinn.com/h/13946/139469739/aquasphere-kayenne-pro-lenses-photochromatic-goggles.jpg,aquasphere kayenne pro lenses photochromatic goggles,equipment,accesories,36.99
62,https://www.tradeinn.com/h/13756/137568232/softee-lycra-swimming-cap.jpg,softee lycra swimming cap,equipment,accesories,1.99
63,https://www.tradeinn.com/h/13745/137451808/speedo-plain-moulded-swimming-cap-junior.jpg,speedo plain moulded swimming cap junior,equipment,accesories,6.49
64,https://www.tradeinn.com/h/4/48982/arena-spider-swimming-goggles-junior.jpg,arena spider swimming goggles junior,equipment,accesories,10.99
65,https://www.tradeinn.com/h/13732/137329397/arena-airspeed-mirror-swimming-goggles.jpg,arena airspeed mirror swimming goggles,equipment,accesories,25.49
66,https://www.tradeinn.com/h/13870/138704279/aquasphere-kaiman-swimming-goggles.jpg,aquasphere kaiman swimming goggles,equipment,accesories,21.99
67,https://www.tradeinn.com/h/13870/138704265/aquasphere-kaiman-junior-swimming-goggles.jpg,aquasphere kaiman junior swimming goggles,equipment,accesories,20.99
68,https://www.tradeinn.com/h/13710/137103468/cressi-silicone-shark-swimming-cap.jpg,cressi silicone shark swimming cap,equipment,accesories,4.49
69,https://www.tradeinn.com/h/5/57876/speedo-aquapure-swimming-goggles.jpg,speedo aquapure swimming goggles,equipment,accesories,21.99
70,https://www.tradeinn.com/h/4/47558/speedo-swedish-mirror-swimming-goggles.jpg,speedo swedish mirror swimming goggles,equipment,accesories,15.99
71,https://www.tradeinn.com/h/13664/136640232/speedo-long-hair-swimming-cap.jpg,speedo long hair swimming cap,equipment,accesories,8.99
72,https://www.tradeinn.com/h/13959/139594424/speedo-biofuse-2.0-swimming-goggles.jpg,speedo biofuse 2.0 swimming goggles,equipment,accesories,19.99
73,https://www.tradeinn.com/h/13746/137461700/arena-cobra-ultra-swipe-swimming-goggles.jpg,arena cobra ultra swipe swimming goggles,equipment,accesories,50.99
74,https://www.tradeinn.com/h/55/554601/tyr-nest-pro-swimming-goggles.jpg,tyr nest pro swimming goggles,equipment,accesories,18.99
75,https://www.tradeinn.com/h/13810/138106774/tyr-tracer-x-elite-race-mirror-swimming-goggles.jpg,tyr tracer x elite race mirror swimming goggles,equipment,accesories,43.99
76,https://www.tradeinn.com/h/13870/138704302/aquasphere-kayenne-junior-swimming-goggles.jpg,aquasphere kayenne junior swimming goggles,equipment,accesories,29.99
77,https://www.tradeinn.com/h/13870/138704312/aquasphere-kayenne-swimming-goggles.jpg,aquasphere kayenne swimming goggles,equipment,accesories,25.99
78,https://www.tradeinn.com/h/13870/138704306/aquasphere-kayenne-swimming-goggles.jpg,aquasphere kayenne swimming goggles,equipment,accesories,17.99
79,https://www.tradeinn.com/h/13946/139469744/aquasphere-seal-2.0-lenses-dark-goggles.jpg,aquasphere seal 2.0 lenses dark goggles,equipment,accesories,27.49
80,https://www.tradeinn.com/h/13870/138704273/aquasphere-kaiman-swimming-goggles.jpg,aquasphere kaiman swimming goggles,equipment,accesories,18.0
81,https://www.tradeinn.com/h/13946/139469752/aquasphere-vista-xp-lenses-dark-goggles.jpg,aquasphere vista xp lenses dark goggles,equipment,accesories,20.49
82,https://www.tradeinn.com/h/13870/138704304/aquasphere-kayenne-swimming-goggles.jpg,aquasphere kayenne swimming goggles,equipment,accesories,20.49
83,https://www.tradeinn.com/h/14009/140095199/aquasphere-mako2-swimming-goggles.jpg,aquasphere mako2 swimming goggles,equipment,accesories,14.49
84,https://www.tradeinn.com/h/13870/138704341/aquasphere-sea-swimming-cap.jpg,aquasphere sea swimming cap,equipment,accesories,9.49
85,https://www.tradeinn.com/h/13870/138704298/aquasphere-kayenne-junior-swimming-goggles.jpg,aquasphere kayenne junior swimming goggles,equipment,accesories,21.49
86,https://www.tradeinn.com/h/13755/137557633/leisis-standard-latex-swimming-cap.jpg,leisis standard latex swimming cap,equipment,accesories,1.99
