,title,suggested_price(€),system,image_src,age_group
28,The Grinch: Christmas Adventures,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_TheGrinchChristmasAdventures_GBen_image500w.jpg,Under 6 Year Old
29,Advent Calendar,14.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_AdventCalendar_GB_image500w.jpg,Under 6 Year Old
30,Rocket League®,0.0,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_RocketLeague_image500w.jpg,Under 6 Year Old
31,Fall Guys,0.0,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_FallGuys_image500w.jpg,Under 6 Year Old
32,Euro Truck Driver Simulator,14.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_EuroTruckDriverSimulator_image500w.jpg,Under 6 Year Old
33,Games Advent Calendar - 25 Days - 25 Surprises,14.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_GamesAdventCalendar25Days25Surprises_GBen_image500w.jpg,Under 6 Year Old
34,Mario Kart Live: Home Circuit,0.0,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_MarioKartLiveHomeCircuit_image500w.jpg,Under 6 Year Old
35,Zumba® Burn It Up!,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_ZumbaBurnItUp_image500w.jpg,Under 6 Year Old
36,Sonic Origins,29.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_SonicOrigins_image500w.jpg,Under 6 Year Old
37,Barbie™ DreamHouse Adventures,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_BarbieDreamHouseAdventures_image500w.jpg,Under 6 Year Old
38,Crash™ Team Racing Nitro-Fueled,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_CrashTeamRacingNitroFueled_image500w.jpg,Under 6 Year Old
39,The Smurfs: Learn and Play,14.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_TheSmurfsLearnAndPlay_image500w.jpg,Under 6 Year Old
40,Cities: Skylines - Nintendo Switch™ Edition,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_CitySkylinesNintendoSwitchEdition_image500w.jpg,Under 6 Year Old
41,Heave Ho,9.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_HeaveHo_image500w.jpg,Under 6 Year Old
42,MONOPOLY for Nintendo Switch™ + MONOPOLY Madness,49.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_MonopolyForNintendoSwitchPlusMonopolyMadness_image500w.jpg,Under 6 Year Old
43,Overcooked! 2,16.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_Overcooked2_image500w.jpg,Under 6 Year Old
44,Train Driver Simulator,14.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_TrainDriverSimulator_image500w.jpg,Under 6 Year Old
45,Super Kirby Clash,0.0,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_SuperKirbyClash_image500w.jpg,Under 6 Year Old
46,GRID™ Autosport,34.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_GridAutosport_image500w.jpg,Under 6 Year Old
47,TETRIS 99,0.0,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Tetris99_image500w.jpg,Under 6 Year Old
48,PAW Patrol World,39.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_PawPatrolWorld_enGB_image500w.jpg,Under 6 Year Old
49,Xtreme Club Racing,9.89,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_XtremeClubRacing_image500w.jpg,Under 6 Year Old
50,Speedway Heroes,6.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_SpeedwayHeroes_image500w.jpg,Under 6 Year Old
51,Football Run,9.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_FootballRun_image500w.jpg,Under 6 Year Old
