,image_src,title,category,collection,suggested_price(€)
44,https://www.tradeinn.com/h/14042/140427887/bullpadel-vertex-04-hybrid-24-padel-racket.jpg,bullpadel vertex 04 hybrid 24 padel racket,equipment,padel,278.99
45,https://www.tradeinn.com/h/13938/139380753/adidas-metalbone-hrd-padel-racket.jpg,adidas metalbone hrd padel racket,equipment,padel,209.99
46,https://www.tradeinn.com/h/13938/139380725/adidas-adipower-multiweight-padel-racket.jpg,adidas adipower multiweight padel racket,equipment,padel,187.99
47,https://www.tradeinn.com/h/13941/139414583/nox-at-genius-attack-18k-padel-racket.jpg,nox at genius attack 18k padel racket,equipment,padel,178.49
48,https://www.tradeinn.com/h/14040/140406459/nox-equation-advanced-series-padel-racket-24.jpg,nox equation advanced series padel racket 24,equipment,padel,151.99
49,https://www.tradeinn.com/h/14040/140406460/nox-equation-light-advanced-series-padel-racket-24.jpg,nox equation light advanced series padel racket 24,equipment,padel,151.99
50,https://www.tradeinn.com/h/14042/140427888/bullpadel-vertex-04-24-padel-racket.jpg,bullpadel vertex 04 24 padel racket,equipment,padel,282.99
51,https://www.tradeinn.com/h/13987/139879329/wilson-pro-staff-v2-team-alt-padel-racket.jpg,wilson pro staff v2 team alt padel racket,equipment,padel,88.99
52,https://www.tradeinn.com/h/13938/139380781/adidas-rx-1000-padel-racket.jpg,adidas rx 1000 padel racket,equipment,padel,62.49
53,https://www.tradeinn.com/h/14042/140427878/bullpadel-hack-03-24-comfort-padel-racket.jpg,bullpadel hack 03 24 comfort padel racket,equipment,padel,217.99
54,https://www.tradeinn.com/h/13911/139115717/wilson-blade-team-v2-padel-racket.jpg,wilson blade team v2 padel racket,equipment,padel,88.99
55,https://www.tradeinn.com/h/13987/139879291/wilson-carbon-force-padel-racket.jpg,wilson carbon force padel racket,equipment,padel,103.99
56,https://www.tradeinn.com/h/13911/139115705/wilson-blade-team-v2-padel-racket.jpg,wilson blade team v2 padel racket,equipment,padel,88.99
57,https://www.tradeinn.com/h/13941/139414601/nox-pack-ml10-limited-edition-23-padel-racket.jpg,nox pack ml10 limited edition 23 padel racket,equipment,padel,170.99
58,https://www.tradeinn.com/h/13955/139554960/puma-solarattack-power-padel-racket.jpg,puma solarattack power padel racket,equipment,padel,153.63
59,https://www.tradeinn.com/h/13941/139414602/nox-silhoutte-casual-series-woman-padel-racket.jpg,nox silhoutte casual series woman padel racket,equipment,padel,82.99
60,https://www.tradeinn.com/h/13941/139414599/nox-nerbo-wpt-luxury-series-padel-racket.jpg,nox nerbo wpt luxury series padel racket,equipment,padel,170.49
61,https://www.tradeinn.com/h/14042/140427882/bullpadel-ionic-control-24-padel-racket.jpg,bullpadel ionic control 24 padel racket,equipment,padel,176.99
62,https://www.tradeinn.com/h/14042/140427879/bullpadel-hack-03-24-hybrid-padel-racket.jpg,bullpadel hack 03 24 hybrid padel racket,equipment,padel,262.99
63,https://www.tradeinn.com/h/14042/140427889/bullpadel-vertex-04-24-woman-padel-racket.jpg,bullpadel vertex 04 24 woman padel racket,equipment,padel,232.99
64,https://www.tradeinn.com/h/14042/140427883/bullpadel-ionic-light-24-woman-padel-racket.jpg,bullpadel ionic light 24 woman padel racket,equipment,padel,151.99
65,https://www.tradeinn.com/h/13987/139879330/wilson-pro-staff-v2-team-padel-racket.jpg,wilson pro staff v2 team padel racket,equipment,padel,88.99
66,https://www.tradeinn.com/h/13941/139414595/nox-ml10-pro-cup-silver-padel-racket.jpg,nox ml10 pro cup silver padel racket,equipment,padel,132.49
67,https://www.tradeinn.com/h/13938/139380783/adidas-rx-carbon-padel-racket.jpg,adidas rx carbon padel racket,equipment,padel,87.99
68,https://www.tradeinn.com/h/14042/140427884/bullpadel-ionic-power-24-padel-racket.jpg,bullpadel ionic power 24 padel racket,equipment,padel,150.99
69,https://www.tradeinn.com/h/13966/139662098/bullpadel-hack-03-comfort-padel-racket.jpg,bullpadel hack 03 comfort padel racket,equipment,padel,132.99
70,https://www.tradeinn.com/h/13883/138835352/dunlop-blitz-padel-racket.jpg,dunlop blitz padel racket,equipment,padel,180.0
71,https://www.tradeinn.com/h/13955/139554959/puma-solarattack-ct-padel-racket.jpg,puma solarattack ct padel racket,equipment,padel,181.49
72,https://www.tradeinn.com/h/13670/136701897/nox-pro-padel-overgrip-12-units.jpg,nox pro padel overgrip 12 units,equipment,padel,17.49
73,https://www.tradeinn.com/h/13941/139414597/nox-ml10-shotgun-luxury-series-padel-racket.jpg,nox ml10 shotgun luxury series padel racket,equipment,padel,147.99
74,https://www.tradeinn.com/h/13968/139680253/head-zephyr-2023-padel-racket.jpg,head zephyr 2023 padel racket,equipment,padel,121.99
75,https://www.tradeinn.com/h/13963/139631293/babolat-counter-vertuo-padel-racket.jpg,babolat counter vertuo padel racket,equipment,padel,126.49
76,https://www.tradeinn.com/h/13912/139125691/babolat-reflex-padel-racket.jpg,babolat reflex padel racket,equipment,padel,90.99
77,https://www.tradeinn.com/h/13938/139380743/adidas-match-3.2-padel-racket.jpg,adidas match 3.2 padel racket,equipment,padel,46.99
78,https://www.tradeinn.com/h/13987/139879280/wilson-profile-overgrip.jpg,wilson profile overgrip,equipment,padel,6.49
79,https://www.tradeinn.com/h/13859/138591014/head-padel-pro-paddel-grip-3.jpg,head padel pro paddel grip 3,equipment,padel,4.99
80,https://www.tradeinn.com/h/14042/140427875/bullpadel-elite-24-woman-padel-racket.jpg,bullpadel elite 24 woman padel racket,equipment,padel,280.99
81,https://www.tradeinn.com/h/14042/140427876/bullpadel-flow-24-woman-padel-racket.jpg,bullpadel flow 24 woman padel racket,equipment,padel,237.99
82,https://www.tradeinn.com/h/13853/138534293/head-delta-elite-2022-padel-racket.jpg,head delta elite 2022 padel racket,equipment,padel,134.99
83,https://www.tradeinn.com/h/13938/139380724/adidas-adipower-multiweight-ctrl-padel-racket.jpg,adidas adipower multiweight ctrl padel racket,equipment,padel,192.99
84,https://www.tradeinn.com/h/13938/139380747/adidas-metalbone-3.2-padel-racket.jpg,adidas metalbone 3.2 padel racket,equipment,padel,250.99
85,https://www.tradeinn.com/h/14042/140427880/bullpadel-hack-03-24-padel-racket.jpg,bullpadel hack 03 24 padel racket,equipment,padel,278.99
86,https://www.tradeinn.com/h/13938/139380741/adidas-drive-light-3.2-padel-racket.jpg,adidas drive light 3.2 padel racket,equipment,padel,52.99
87,https://www.tradeinn.com/h/13850/138503672/babolat-defiance-woman-padel-racket.jpg,babolat defiance woman padel racket,equipment,padel,130.0
88,https://www.tradeinn.com/h/14040/140406462/nox-ml10-bahia-12k-luxury-series-padel-racket-24.jpg,nox ml10 bahia 12k luxury series padel racket 24,equipment,padel,298.49
89,https://www.tradeinn.com/h/14040/140406453/nox-at-genius-attack-18k-padel-racket-24.jpg,nox at genius attack 18k padel racket 24,equipment,padel,303.49
90,https://www.tradeinn.com/h/13968/139680254/head-zephyr-pro-2023-padel-racket.jpg,head zephyr pro 2023 padel racket,equipment,padel,127.99
91,https://www.tradeinn.com/h/13787/137873045/head-evo-sanyo-padel-racket.jpg,head evo sanyo padel racket,equipment,padel,110.8
92,https://www.tradeinn.com/h/13938/139380744/adidas-match-light-3.2-padel-racket.jpg,adidas match light 3.2 padel racket,equipment,padel,46.99
93,https://www.tradeinn.com/h/13966/139662104/bullpadel-hack-03-padel-racket.jpg,bullpadel hack 03 padel racket,equipment,padel,175.99
94,https://www.tradeinn.com/h/13953/139537901/star-vie-triton-pro-2.0-padel-racket.jpg,star vie triton pro 2.0 padel racket,equipment,padel,162.99
95,https://www.tradeinn.com/h/13795/137959914/dunlop-aero-star-team-padel-racket.jpg,dunlop aero-star team padel racket,equipment,padel,112.49
96,https://www.tradeinn.com/h/14040/140406464/nox-ml10-shotgun-18k-luxury-series-padel-racket-24.jpg,nox ml10 shotgun 18k luxury series padel racket 24,equipment,padel,303.49
97,https://www.tradeinn.com/h/13853/138534291/head-delta-2022-junior-padel-racket.jpg,head delta 2022 junior padel racket,equipment,padel,56.99
98,https://www.tradeinn.com/h/13968/139680255/head-zephyr-ul-2023-padel-racket.jpg,head zephyr ul 2023 padel racket,equipment,padel,95.99
99,https://www.tradeinn.com/h/13938/139380773/adidas-padel-racket-protector.jpg,adidas padel racket protector,equipment,padel,7.99
100,https://www.tradeinn.com/h/13900/139000360/drop-shot-sportage-padel-racket.jpg,drop shot sportage padel racket,equipment,padel,170.0
101,https://www.tradeinn.com/h/14040/140406463/nox-ml10-pro-cup-3k-luxury-series-padel-racket-24.jpg,nox ml10 pro cup 3k luxury series padel racket 24,equipment,padel,303.49
102,https://www.tradeinn.com/h/13833/138335545/nox-at10-genius-by-agustin-tapia-padel-racket-junior-22.jpg,nox at10 genius by agustin tapia padel racket junior 22,equipment,padel,38.99
103,https://www.tradeinn.com/h/13941/139414605/nox-x-one-casual-series-padel-racket.jpg,nox x-one casual series padel racket,equipment,padel,76.49
104,https://www.tradeinn.com/h/13938/139380782/adidas-rx-2000-light-padel-racket.jpg,adidas rx 2000 light padel racket,equipment,padel,72.99
105,https://www.tradeinn.com/h/13930/139303297/babolat-technical-viper-padel-racket.jpg,babolat technical viper padel racket,equipment,padel,205.99
106,https://www.tradeinn.com/h/13963/139631292/babolat-counter-veron-padel-racket.jpg,babolat counter veron padel racket,equipment,padel,167.99
107,https://www.tradeinn.com/h/13987/139879286/wilson-accent-padel-racket.jpg,wilson accent padel racket,equipment,padel,138.99
