image,description,category,collection,price
https://www.tradeinn.com/h/13812/138123505/givova-easy-basketball-ball.jpg,givova easy basketball ball,equipment,balls,14.99
https://www.tradeinn.com/h/13949/139494343/softee-smart-microcellular-basketball-ball.jpg,softee smart microcellular basketball ball,equipment,balls,8.49
https://www.tradeinn.com/h/13949/139495280/rox-luka-77-basketball-ball.jpg,rox luka 77 basketball ball,equipment,balls,8.99
https://www.tradeinn.com/h/13871/138710469/softee-basketball-ball-leather.jpg,softee basketball ball leather,equipment,balls,16.49
https://www.tradeinn.com/h/14000/140007316/softee-deluxe-air-pump.jpg,softee deluxe air pump,equipment,balls,2.99
https://www.tradeinn.com/h/14003/140033227/spalding-varsity-tf-150-basketball-ball.jpg,spalding varsity tf 150 basketball ball,equipment,balls,34.0
https://www.tradeinn.com/h/14003/140033233/spalding-tf-1000-legacy-national-basketball-league-basketball-ball.jpg,spalding tf 1000 legacy national basketball league basketball bal...,equipment,balls,104.0
https://www.tradeinn.com/h/13981/139816809/nike-everyday-all-court-8p-basketball-ball.jpg,nike everyday all court 8p basketball ball,equipment,balls,66.38
https://www.tradeinn.com/h/14047/140476323/jordan-ultimate-2.0-basketball-ball.jpg,jordan ultimate 2.0 basketball ball,equipment,balls,54.62
https://www.tradeinn.com/h/14047/140476324/jordan-ultimate-2.0-basketball-ball.jpg,jordan ultimate 2.0 basketball ball,equipment,balls,54.62
https://www.tradeinn.com/h/14047/140476325/spalding-street-phantom-basketball-ball.jpg,spalding street phantom basketball ball,equipment,balls,31.39
https://www.tradeinn.com/h/14027/140272217/molten-b7f1601-basketball-ball.jpg,molten b7f1601 basketball ball,equipment,balls,27.94
https://www.tradeinn.com/h/14011/140110883/spalding-highlight-84356z-basketball-ball.jpg,spalding highlight 84356z basketball ball,equipment,balls,31.72
https://www.tradeinn.com/h/13760/137609097/puma-basketball-basketball-ball.jpg,puma basketball basketball ball,equipment,balls,59.94
https://www.tradeinn.com/h/13835/138357398/spalding-rainbow-graffiti-basketball-ball.jpg,spalding rainbow graffiti basketball ball,equipment,balls,34.0
https://www.tradeinn.com/h/13944/139448900/nike-jordan-ultimate-2.0-8p-deflated-basketball-ball.jpg,nike jordan ultimate 2.0 8p deflated basketball ball,equipment,balls,50.7
https://www.tradeinn.com/h/13930/139302392/tremblay-training-basketball-ball.jpg,tremblay training basketball ball,equipment,balls,19.58
https://www.tradeinn.com/h/13930/139302508/tremblay-training-basketball-ball.jpg,tremblay training basketball ball,equipment,balls,19.58
https://www.tradeinn.com/h/13930/139302509/peak-camp-basketball-ball.jpg,peak camp basketball ball,equipment,balls,47.31
https://www.tradeinn.com/h/13930/139302582/tremblay-cellular-training-bec7-basketball-ball.jpg,tremblay cellular training bec7 basketball ball,equipment,balls,21.19
https://www.tradeinn.com/h/13930/139302586/tremblay-cellular-match-bcol5-basketball-ball.jpg,tremblay cellular match bcol5 basketball ball,equipment,balls,27.51
https://www.tradeinn.com/h/13930/139302642/tremblay-cellular-match-bcol3-basketball-ball.jpg,tremblay cellular match bcol3 basketball ball,equipment,balls,27.51
https://www.tradeinn.com/h/13887/138872016/nike-jordan-legacy-8p-basketball-ball.jpg,nike jordan legacy 8p basketball ball,equipment,balls,51.94
https://www.tradeinn.com/h/13887/138872030/nike-jordan-ultimate-8p-basketball-ball.jpg,nike jordan ultimate 8p basketball ball,equipment,balls,52.06
https://www.tradeinn.com/h/13887/138875066/nike-jordan-skills-2.0-graphic-basketball-ball.jpg,nike jordan skills 2.0 graphic basketball ball,equipment,balls,29.61
https://www.tradeinn.com/h/13912/139121648/nike-everyday-all-court-8p-basketball-ball.jpg,nike everyday all court 8p basketball ball,equipment,balls,49.11
https://www.tradeinn.com/h/13914/139146502/mikasa-bzd712-basketball-ball.jpg,mikasa bzd712 basketball ball,equipment,balls,55.29
