,category,Image,Title,author,Price
337,Music,https://blackwells.co.uk//jacket/200x200/9781785583704.jpg,JUSTINGUITAR.COM CHRISTMAS SONG...,,22.08
338,Music,https://blackwells.co.uk//jacket/200x200/9781783053193.jpg,Richter Max Vivaldi Recomposed ...,"Vivaldi, Antonio (CO...",27.73
339,Music,https://blackwells.co.uk//jacket/200x200/9781529428421.jpg,Sufferah,Alex Wheatle,20.0
340,Music,https://blackwells.co.uk//jacket/200x200/9781409118466.jpg,Black Sabbath,Mick Wall,17.01
341,Music,https://blackwells.co.uk//jacket/200x200/9781616770150.jpg,Pretime Piano Christmas - Prime...,"Nancy Faber (other),...",12.22
342,Music,https://blackwells.co.uk//jacket/200x200/9781738581702.jpg,Get on the Rollercoaster,Karamdeep Sahota (au...,26.69
343,Music,https://blackwells.co.uk//jacket/200x200/9781108446846.jpg,The Cambridge Companion to The ...,Jessica Pauline Wald...,29.77
344,Music,https://blackwells.co.uk//jacket/200x200/9781789522891.jpg,Sensational Alex Harvey Band,Peter Gallagher,19.2
345,Music,https://blackwells.co.uk//jacket/200x200/9781529177251.jpg,Abbey Road,David Hepworth,15.15
346,Philosophy,https://blackwells.co.uk//jacket/200x200/9780281061761.jpg,1 Corinthians,"N. T. Wright, Dale L...",11.61
347,Philosophy,https://blackwells.co.uk//jacket/200x200/9781781404379.jpg,Follow the Star Join the Song P...,Richard Carter (auth...,13.58
348,Philosophy,https://blackwells.co.uk//jacket/200x200/9781899579907.jpg,"This Being, That Becomes",Dhivan Thomas Jones,15.41
349,Philosophy,https://blackwells.co.uk//jacket/200x200/9780231134057.jpg,The Neutral,"Roland Barthes, Thom...",31.72
350,Philosophy,https://blackwells.co.uk//jacket/200x200/9780907547082.jpg,Hymns Ancient and Modern: Revis...,Hymns Ancient and Mo...,31.23
351,Philosophy,https://blackwells.co.uk//jacket/200x200/9780199608362.jpg,Poetics,"Aristotle (author), ...",12.77
352,Philosophy,https://blackwells.co.uk//jacket/200x200/9781586177331.jpg,Contemplative Provocations,Donald Haggerty,13.13
353,Philosophy,https://blackwells.co.uk//jacket/200x200/9781848258686.jpg,Daily Prayer,Padraig Ó Tuama,14.76
354,Philosophy,https://blackwells.co.uk//jacket/200x200/9780715654514.jpg,The Spirit Engineer,A. J. West,13.53
355,Philosophy,https://blackwells.co.uk//jacket/200x200/9780199236954.jpg,Witchcraft,Malcolm Gaskill,13.45
356,Philosophy,https://blackwells.co.uk//jacket/200x200/9780856686092.jpg,Euripides: Bacchae,R. A. S. Seaford (ed...,33.15
