,image_src,title,category,suggested_price(€)
46,https://www.tradeinn.com/h/14018/140187034/quiksilver-break-8.0-softboard.jpg,quiksilver break 8.0 softboard,equipment,406.99
47,https://www.tradeinn.com/h/13976/139767077/indio-endurance-the-egg-surfboard-68.jpg,indio endurance the egg surfboard 6´8,equipment,504.49
48,https://www.tradeinn.com/h/13976/139767080/indio-endurance-the-egg-surfboard-710.jpg,indio endurance the egg surfboard 7´10,equipment,547.99
49,https://www.tradeinn.com/h/13976/139767086/indio-endurance-the-egg-surfboard-76.jpg,indio endurance the egg surfboard 7´6,equipment,544.99
50,https://www.tradeinn.com/h/13876/138765433/indio-trim-machine-91-surfboard.jpg,indio trim machine 9´1´´ surfboard,equipment,669.49
51,https://www.tradeinn.com/h/13876/138765313/indio-big-fish-72-surfboard.jpg,indio big fish 7´2´´ surfboard,equipment,466.99
52,https://www.tradeinn.com/h/13876/138765359/indio-log-machine-90-surfboard.jpg,indio log machine 9´0´´ surfboard,equipment,669.99
53,https://www.tradeinn.com/h/13876/138765429/indio-the-egg-82-surfboard.jpg,indio the egg 8´2´´ surfboard,equipment,541.99
54,https://www.tradeinn.com/h/13876/138765417/indio-the-egg-710-surfboard.jpg,indio the egg 7´10´´ surfboard,equipment,515.49
55,https://www.tradeinn.com/h/13876/138765425/indio-the-egg-76-surfboard.jpg,indio the egg 7´6´´ surfboard,equipment,504.49
56,https://www.tradeinn.com/h/13876/138765426/indio-the-egg-76-surfboard.jpg,indio the egg 7´6´´ surfboard,equipment,413.99
57,https://www.tradeinn.com/h/13896/138967224/indio-easy-80-surfboard.jpg,indio easy 8´0´´ surfboard,equipment,488.99
58,https://www.tradeinn.com/h/13896/138967211/indio-rookie-410-surfboard.jpg,indio rookie 4´10´´ surfboard,equipment,192.99
59,https://www.tradeinn.com/h/13896/138967217/indio-easy-rider-70-surfboard.jpg,indio easy rider 7´0´´ surfboard,equipment,510.49
60,https://www.tradeinn.com/h/13876/138765328/indio-combo-54-surfboard.jpg,indio combo 5´4´´ surfboard,equipment,402.99
61,https://www.tradeinn.com/h/13876/138765407/indio-rancho-60-surfboard.jpg,indio rancho 6´0´´ surfboard,equipment,422.49
62,https://www.tradeinn.com/h/13976/139767089/indio-endurance-the-egg-surfboard-82.jpg,indio endurance the egg surfboard 8´2,equipment,574.99
63,https://www.tradeinn.com/h/13976/139767092/indio-mini-long-surfboard-80.jpg,indio mini long surfboard 8´0,equipment,485.99
64,https://www.tradeinn.com/h/13876/138765398/indio-racer-68-surfboard.jpg,indio racer 6´8´´ surfboard,equipment,532.99
65,https://www.tradeinn.com/h/13896/138967220/indio-standard-70-surfboard.jpg,indio standard 7´0´´ surfboard,equipment,454.99
66,https://www.tradeinn.com/h/13896/138967221/indio-step-up-76-surfboard.jpg,indio step up 7´6´´ surfboard,equipment,473.99
67,https://www.tradeinn.com/h/13876/138765311/indio-easy-going-90-surfboard.jpg,indio easy going 9´0´´ surfboard,equipment,636.99
68,https://www.tradeinn.com/h/13876/138765319/indio-boom-hp-54-surfboard.jpg,indio boom hp 5´4´´ surfboard,equipment,411.0
69,https://www.tradeinn.com/h/13876/138765378/indio-plus-66-surfboard.jpg,indio plus 6´6´´ surfboard,equipment,427.99
70,https://www.tradeinn.com/h/13876/138765379/indio-plus-66-surfboard.jpg,indio plus 6´6´´ surfboard,equipment,475.99
71,https://www.tradeinn.com/h/13896/138967233/indio-hardcore-duffy-62-surfboard.jpg,indio hardcore duffy 6´2´´ surfboard,equipment,418.49
72,https://www.tradeinn.com/h/13876/138765360/indio-log-machine-90-surfboard.jpg,indio log machine 9´0´´ surfboard,equipment,569.99
73,https://www.tradeinn.com/h/13876/138765383/indio-plus-70-surfboard.jpg,indio plus 7´0´´ surfboard,equipment,424.99
74,https://www.tradeinn.com/h/13876/138765400/indio-rancho-510-surfboard.jpg,indio rancho 5´10´´ surfboard,equipment,365.99
75,https://www.tradeinn.com/h/13876/138765410/indio-rancho-62-surfboard.jpg,indio rancho 6´2´´ surfboard,equipment,383.99
76,https://www.tradeinn.com/h/13876/138765428/indio-the-egg-76-surfboard.jpg,indio the egg 7´6´´ surfboard,equipment,440.99
77,https://www.tradeinn.com/h/13876/138765318/indio-boom-hp-510-surfboard.jpg,indio boom hp 5´10´´ surfboard,equipment,412.99
78,https://www.tradeinn.com/h/13876/138765320/indio-boom-hp-54-surfboard.jpg,indio boom hp 5´4´´ surfboard,equipment,365.99
79,https://www.tradeinn.com/h/13876/138765372/indio-plus-510-surfboard.jpg,indio plus 5´10´´ surfboard,equipment,427.99
80,https://www.tradeinn.com/h/13876/138765435/indio-trim-machine-91-surfboard.jpg,indio trim machine 9´1´´ surfboard,equipment,656.99
81,https://www.tradeinn.com/h/13896/138967226/indio-easy-80-surfboard.jpg,indio easy 8´0´´ surfboard,equipment,547.99
82,https://www.tradeinn.com/h/13896/138967229/indio-long-90-surfboard.jpg,indio long 9´0´´ surfboard,equipment,552.99
83,https://www.tradeinn.com/h/13896/138967213/indio-fishy-56-surfboard.jpg,indio fishy 5´6´´ surfboard,equipment,376.99
84,https://www.tradeinn.com/h/13896/138967214/indio-fish-60-surfboard.jpg,indio fish 6´0´´ surfboard,equipment,385.49
85,https://www.tradeinn.com/h/13896/138967219/indio-standard-70-surfboard.jpg,indio standard 7´0´´ surfboard,equipment,443.99
86,https://www.tradeinn.com/h/13976/139767051/indio-endurance-combo-surfboard-510.jpg,indio endurance combo surfboard 5´10,equipment,479.99
87,https://www.tradeinn.com/h/13976/139767081/indio-endurance-the-egg-surfboard-710.jpg,indio endurance the egg surfboard 7´10,equipment,515.49
88,https://www.tradeinn.com/h/13976/139767087/indio-endurance-the-egg-surfboard-76.jpg,indio endurance the egg surfboard 7´6,equipment,504.49
89,https://www.tradeinn.com/h/13976/139767075/indio-endurance-rancho-surfboard-60.jpg,indio endurance rancho surfboard 6´0,equipment,524.99
90,https://www.tradeinn.com/h/13976/139767076/indio-endurance-rancho-surfboard-62.jpg,indio endurance rancho surfboard 6´2,equipment,524.99
91,https://www.tradeinn.com/h/13976/139767090/indio-endurance-the-egg-surfboard-82.jpg,indio endurance the egg surfboard 8´2,equipment,541.99
92,https://www.tradeinn.com/h/13876/138765321/indio-boom-hp-57-surfboard.jpg,indio boom hp 5´7´´ surfboard,equipment,421.49
93,https://www.tradeinn.com/h/13876/138765327/indio-combo-54-surfboard.jpg,indio combo 5´4´´ surfboard,equipment,478.99
94,https://www.tradeinn.com/h/13896/138967222/indio-step-up-76-surfboard.jpg,indio step up 7´6´´ surfboard,equipment,468.99
95,https://www.tradeinn.com/h/13975/139752836/nsp-elements-hdt-fish-64-surfboard.jpg,nsp elements hdt fish 6´4´´ surfboard,equipment,476.99
96,https://www.tradeinn.com/h/13805/138050453/nsp-foil-flatter-design-52-surfboard.jpg,nsp foil flatter design 5´2´´ surfboard,equipment,793.49
97,https://www.tradeinn.com/h/13761/137613989/nsp-foil-56-surfboard.jpg,nsp foil 5´6´´ surfboard,equipment,576.49
98,https://www.tradeinn.com/h/13795/137952732/nsp-protech-double-up-74-surfboard.jpg,nsp protech double up 7´4´´ surfboard,equipment,532.49
99,https://www.tradeinn.com/h/13795/137952734/nsp-protech-double-up-84-surfboard.jpg,nsp protech double up 8´4´´ surfboard,equipment,585.99
100,https://www.tradeinn.com/h/13795/137952636/nsp-cocoflax-hooligan-84-surfboard.jpg,nsp cocoflax hooligan 8´4´´ surfboard,equipment,863.49
101,https://www.tradeinn.com/h/13795/137952743/nsp-protech-fun-68-surfboard.jpg,nsp protech fun 6´8´´ surfboard,equipment,463.49
102,https://www.tradeinn.com/h/13795/137952643/nsp-cse-chopstix-56-surfboard.jpg,nsp cse chopstix 5´6´´ surfboard,equipment,565.99
103,https://www.tradeinn.com/h/13795/137952644/nsp-cse-chopstix-58-surfboard.jpg,nsp cse chopstix 5´8´´ surfboard,equipment,537.99
104,https://www.tradeinn.com/h/13795/137952676/nsp-elements-fish-60-surfboard.jpg,nsp elements fish 6´0´´ surfboard,equipment,467.49
105,https://www.tradeinn.com/h/13795/137952680/nsp-elements-fish-64-surfboard.jpg,nsp elements fish 6´4´´ surfboard,equipment,502.99
106,https://www.tradeinn.com/h/13795/137952740/nsp-protech-fish-64-surfboard.jpg,nsp protech fish 6´4´´ surfboard,equipment,439.99
107,https://www.tradeinn.com/h/13795/137952742/nsp-protech-fish-68-surfboard.jpg,nsp protech fish 6´8´´ surfboard,equipment,469.0
108,https://www.tradeinn.com/h/13795/137952746/nsp-protech-fun-72-surfboard.jpg,nsp protech fun 7´2´´ surfboard,equipment,468.49
109,https://www.tradeinn.com/h/13795/137952752/nsp-protech-long-86-surfboard.jpg,nsp protech long 8´6´´ surfboard,equipment,505.49
110,https://www.tradeinn.com/h/13795/137952758/nsp-protech-tinder-d8-60-surfboard.jpg,nsp protech tinder-d8 6´0´´ surfboard,equipment,430.99
111,https://www.tradeinn.com/h/13795/137952760/nsp-protech-tinder-d8-62-surfboard.jpg,nsp protech tinder-d8 6´2´´ surfboard,equipment,435.99
112,https://www.tradeinn.com/h/13805/138050433/nsp-sundownder-soft-66-surfboard.jpg,nsp sundownder soft 6´6´´ surfboard,equipment,357.49
113,https://www.tradeinn.com/h/13805/138050434/nsp-sundownder-soft-70-surfboard.jpg,nsp sundownder soft 7´0´´ surfboard,equipment,386.99
114,https://www.tradeinn.com/h/13761/137613998/nsp-protech-fish-56-surfboard.jpg,nsp protech fish 5´6´´ surfboard,equipment,417.99
115,https://www.tradeinn.com/h/13761/137614070/nsp-soft-long-82-surfboard.jpg,nsp soft long 8´2´´ surfboard,equipment,632.99
116,https://www.tradeinn.com/h/13795/137952665/nsp-e--fun-68-surfboard.jpg,nsp e+ fun 6´8´´ surfboard,equipment,559.49
117,https://www.tradeinn.com/h/13795/137952666/nsp-e--fun-72-surfboard.jpg,nsp e+ fun 7´2´´ surfboard,equipment,598.99
118,https://www.tradeinn.com/h/13795/137952667/nsp-e--fun-76-surfboard.jpg,nsp e+ fun 7´6´´ surfboard,equipment,603.99
119,https://www.tradeinn.com/h/13795/137952669/nsp-e--long-86-surfboard.jpg,nsp e+ long 8´6´´ surfboard,equipment,631.99
120,https://www.tradeinn.com/h/13795/137952670/nsp-e--long-90-surfboard.jpg,nsp e+ long 9´0´´ surfboard,equipment,719.99
121,https://www.tradeinn.com/h/13795/137952678/nsp-elements-fish-60-surfboard.jpg,nsp elements fish 6´0´´ surfboard,equipment,458.49
122,https://www.tradeinn.com/h/13795/137952689/nsp-elements-fun-68-surfboard.jpg,nsp elements fun 6´8´´ surfboard,equipment,473.99
123,https://www.tradeinn.com/h/13795/137952692/nsp-elements-fun-72-surfboard.jpg,nsp elements fun 7´2´´ surfboard,equipment,480.99
124,https://www.tradeinn.com/h/13795/137952696/nsp-elements-fun-76-surfboard.jpg,nsp elements fun 7´6´´ surfboard,equipment,508.99
125,https://www.tradeinn.com/h/13795/137952704/nsp-elements-long-90-surfboard.jpg,nsp elements long 9´0 surfboard,equipment,661.99
126,https://www.tradeinn.com/h/13795/137952718/nsp-elements-tinder-d8-510-surfboard.jpg,nsp elements tinder-d8 5´10´´ surfboard,equipment,488.49
127,https://www.tradeinn.com/h/13795/137952751/nsp-protech-long-86-surfboard.jpg,nsp protech long 8´6´´ surfboard,equipment,564.99
128,https://www.tradeinn.com/h/13805/138050456/nsp-foil-pro-48-surfboard.jpg,nsp foil pro 4´8´´ surfboard,equipment,582.49
129,https://www.tradeinn.com/h/13795/137952641/nsp-cse-chopstix-510-surfboard.jpg,nsp cse chopstix 5´10´´ surfboard,equipment,565.99
130,https://www.tradeinn.com/h/13795/137952642/nsp-cse-chopstix-54-surfboard.jpg,nsp cse chopstix 5´4´´ surfboard,equipment,565.99
131,https://www.tradeinn.com/h/13795/137952645/nsp-cse-chopstix-60-surfboard.jpg,nsp cse chopstix 6´0´´ surfboard,equipment,556.99
132,https://www.tradeinn.com/h/13795/137952649/nsp-cse-equalizer-74-surfboard.jpg,nsp cse equalizer 7´4´´ surfboard,equipment,1111.49
133,https://www.tradeinn.com/h/13795/137952658/nsp-cse-tinder-d8-58-surfboard.jpg,nsp cse tinder-d8 5´8´´ surfboard,equipment,565.99
134,https://www.tradeinn.com/h/13795/137952661/nsp-cse-tinder-d8-62-surfboard.jpg,nsp cse tinder-d8 6´2´´ surfboard,equipment,596.49
