name,platforms,original_price,discounted_price,discount,product_type,rank_in_sale,sale_name,date_recorded
ARK: Survival Evolved,['PS4'],£24.99,£8.24,-67%,FULL_GAME,40,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Mortal Kombat 11,"['PS4', 'PS5']",£39.99,£11.99,-70%,FULL_GAME,41,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Sackboy: A Big Adventure PS4 & PS5,"['PS4', 'PS5']",£59.99,£34.19,-43%,FULL_GAME,42,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Jurassic World Evolution 2,"['PS4', 'PS5']",£49.99,£27.49,-45%,FULL_GAME,43,WM_EU_DEALS,2022-07-22 00:00:00+00:00
The Crew 2 Special Edition,['PS4'],£47.99,£9.59,-80%,GAME_BUNDLE,44,WM_EU_DEALS,2022-07-22 00:00:00+00:00
STAR WARS™ Battlefront™ II,['PS4'],£17.99,£8.99,-50%,FULL_GAME,45,WM_EU_DEALS,2022-07-22 00:00:00+00:00
"Black Desert - 11,500 Pearls",[],£73.99,£59.19,-20%,VIRTUAL_CURRENCY,46,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Far Cry®5,['PS4'],£49.99,£9.99,-80%,FULL_GAME,47,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Crash Bandicoot™ N. Sane Trilogy,['PS4'],£34.99,£17.49,-50%,FULL_GAME,48,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Dead by Daylight PS4™ & PS5™,"['PS4', 'PS5']",£24.99,£9.99,-60%,FULL_GAME,49,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Dying Light Definitive Edition,['PS4'],£47.99,£11.99,-75%,GAME_BUNDLE,50,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Sonic Origins Digital Deluxe PS4 & PS5,"['PS4', 'PS5']",£36.99,£29.59,-20%,GAME_BUNDLE,51,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Destiny 2: Legacy Collection,"['PS4', 'PS5']",£49.99,£19.99,-60%,ADD_ON_PACK,52,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Devil May Cry 5 Special Edition,['PS5'],£34.99,£11.54,-67%,FULL_GAME,53,WM_EU_DEALS,2022-07-22 00:00:00+00:00
DOOM Eternal Standard Edition,"['PS4', 'PS5']",£34.99,£13.99,-60%,GAME_BUNDLE,54,WM_EU_DEALS,2022-07-22 00:00:00+00:00
ONE PIECE: PIRATE WARRIORS 4,['PS4'],£49.99,£9.99,-80%,FULL_GAME,55,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Tales of Arise PS4 & PS5,"['PS4', 'PS5']",£49.99,£24.99,-50%,FULL_GAME,56,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Tiny Tina's Wonderlands: Next-Level Edition,"['PS4', 'PS5']",£64.99,£48.74,-25%,GAME_BUNDLE,57,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Mafia: Trilogy,['PS4'],£49.99,£19.99,-60%,GAME_BUNDLE,58,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Biomutant,['PS4'],£54.99,£32.99,-40%,FULL_GAME,59,WM_EU_DEALS,2022-07-22 00:00:00+00:00
GTA+: Megalodon Shark Cash Card (PS5™),[],Unavailable,Unavailable,,VIRTUAL_CURRENCY,60,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Sid Meier’s Civilization VI,['PS4'],£24.99,£7.49,-70%,FULL_GAME,61,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Destiny 2: The Witch Queen Deluxe + Bungie 30th Anniversary Bundle,"['PS4', 'PS5']",£87.99,£58.95,-33%,ADD_ON_PACK,62,WM_EU_DEALS,2022-07-22 00:00:00+00:00
The Ascent PS4 & PS5,"['PS4', 'PS5']",£24.99,£14.99,-40%,FULL_GAME,63,WM_EU_DEALS,2022-07-22 00:00:00+00:00
GTA Online: Megalodon Shark Cash Card (PS5™),[],£64.99,£55.24,-15%,VIRTUAL_CURRENCY,64,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Ratchet & Clank: Rift Apart Digital Deluxe Edition,['PS5'],£79.99,£52.79,-34%,PREMIUM_EDITION,65,WM_EU_DEALS,2022-07-22 00:00:00+00:00
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,['PS4'],£47.99,£9.59,-80%,FULL_GAME,66,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Red Dead Online,['PS4'],£17.99,£8.99,-50%,FULL_GAME,67,WM_EU_DEALS,2022-07-22 00:00:00+00:00
SnowRunner - Premium Edition,"['PS4', 'PS5']",£49.99,£32.49,-35%,PREMIUM_EDITION,68,WM_EU_DEALS,2022-07-22 00:00:00+00:00
SnowRunner - Premium Edition,['PS4'],£49.99,£32.49,-35%,PREMIUM_EDITION,69,WM_EU_DEALS,2022-07-22 00:00:00+00:00
DRAGON BALL FIGHTERZ,['PS4'],£47.99,£6.71,-86%,FULL_GAME,70,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Borderlands 3 PS4™ &  PS5™,"['PS4', 'PS5']",£59.99,£11.99,-80%,FULL_GAME,71,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Uncharted™: The Nathan Drake Collection,['PS4'],£15.99,£7.99,-50%,FULL_GAME,72,WM_EU_DEALS,2022-07-22 00:00:00+00:00
The Outer Worlds,['PS4'],£49.99,£16.49,-67%,FULL_GAME,73,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Insurgency: Sandstorm - Gold Edition,['PS4'],£69.99,£34.99,-50%,PREMIUM_EDITION,74,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Olympic Games Tokyo 2020 – The Official Video Game™,['PS4'],£34.99,£12.24,-65%,FULL_GAME,75,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Destiny 2: The Witch Queen Deluxe Edition,"['PS4', 'PS5']",£69.99,£46.89,-33%,ADD_ON_PACK,76,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Kena: Bridge of Spirits Digital Deluxe PS4 & PS5,"['PS4', 'PS5']",£39.99,£23.99,-40%,PREMIUM_EDITION,77,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Control: Ultimate Edition,['PS4'],£32.99,£13.19,-60%,GAME_BUNDLE,78,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Control: Ultimate Edition,"['PS4', 'PS5']",£32.99,£13.19,-60%,FULL_GAME,79,WM_EU_DEALS,2022-07-22 00:00:00+00:00
UNCHARTED 4: A Thief’s End & UNCHARTED: The Lost Legacy Digital Bundle,['PS4'],£34.99,£17.49,-50%,GAME_BUNDLE,80,WM_EU_DEALS,2022-07-22 00:00:00+00:00
NARUTO TO BORUTO: SHINOBI STRIKER,['PS4'],£49.99,£4.99,-90%,FULL_GAME,81,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Persona 5 Royal Deluxe Edition,['PS4'],£54.99,£16.49,-70%,FULL_GAME,82,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Thief Simulator,['PS4'],£15.99,£7.99,-50%,FULL_GAME,83,WM_EU_DEALS,2022-07-22 00:00:00+00:00
LEGO® CITY Undercover,['PS4'],£47.99,£9.59,-80%,FULL_GAME,84,WM_EU_DEALS,2022-07-22 00:00:00+00:00
HOT WHEELS UNLEASHED™,['PS4'],£39.99,£11.99,-70%,FULL_GAME,85,WM_EU_DEALS,2022-07-22 00:00:00+00:00
HOT WHEELS UNLEASHED™,['PS5'],£39.99,£11.99,-70%,FULL_GAME,86,WM_EU_DEALS,2022-07-22 00:00:00+00:00
NBA 2K22 NBA 75th Anniversary Edition for PS5™,"['PS4', 'PS5']",£84.99,£28.04,-67%,GAME_BUNDLE,87,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Devil May Cry 5 + Vergil,['PS4'],£24.99,£8.24,-67%,GAME_BUNDLE,88,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Diablo® II: Resurrected™,"['PS4', 'PS5']",£34.99,£20.99,-40%,GAME_BUNDLE,89,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Ghostwire: Tokyo Deluxe Edition,['PS5'],£79.99,£39.99,-50%,GAME_BUNDLE,90,WM_EU_DEALS,2022-07-22 00:00:00+00:00
GRID Legends PS4 & PS5,"['PS4', 'PS5']",£59.99,£29.99,-50%,FULL_GAME,91,WM_EU_DEALS,2022-07-22 00:00:00+00:00
FIFA 22 Ultimate Edition PS4™ & PS5™,"['PS4', 'PS5']",£89.99,£31.49,-65%,PREMIUM_EDITION,92,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Sid Meier’s Civilization® VI Anthology Upgrade Bundle,['PS4'],£44.99,£22.49,-50%,ADD_ON_PACK,93,WM_EU_DEALS,2022-07-22 00:00:00+00:00
MotoGP™22 PS4 & PS5,"['PS4', 'PS5']",£59.99,£29.99,-50%,FULL_GAME,94,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Mafia: Definitive Edition,['PS4'],£34.99,£12.24,-65%,FULL_GAME,95,WM_EU_DEALS,2022-07-22 00:00:00+00:00
